abelsi01c,265
adamsja01c,333
allenke01c,51
arboual01c,659
babcomi01c,392
barbebi01c,73
berenre01c,72
bergemi03c,253
berrybo01c,268
beverni01c,9
blackdo01c,31
blairwr01c,27
blaketo01c,500
boilema01c,84
boivile01c,17
bouchfr01c,98
bouchge01c,6
bouchgu01c,46
boudrbr01c,189
bowmasc01c,1209
bowneri01c,36
brookhe01c,185
brophjo01c,53
burnsch01c,10
burnspa01c,449
bylsmda01c,165
campbco01c,101
carbogu01c,47
carlyra01c,227
carpedo01c,38
carrodi01c,13
carrofr01c,15
cassibr01c,39
champwe01c,47
cheevge01c,179
cherrdo01c,231
clancki01c,80
clappdi01c,102
cleghod01c,38
cleghsp01c,19
clousco01c,44
constke01c,150
crawfma01c,331
creigfr01c,144
crispte01c,182
crozijo01c,78
cunnijo01c,31
curryal01c,24
dandule01c,57
dayha01c,240
deboepe01c,48
demerja01c,415
dennecy01c,26
dineebi01c,285
dineeke01c,38
dudleri01c,76
dugalju01c,9
duncaar01c,21
duttore01c,67
esposph01c,24
evansja01c,83
fergujo01c,7
filioma01c,13
francbo01c,79
francem01c,365
ftorero01c,155
gainebo01c,147
gardihe01c,35
gendrje01c,96
geoffbe01c,30
gerared01c,105
gillda01c,50
glovefr01c,51
gordoja01c,102
gorinbu01c,37
gormato01c,107
gottsjo01c,23
granato01c,72
greenpe01c,77
greente01c,36
gretzwa01c,50
guidobe01c,72
harribi01c,76
harrite01c,23
hartce01c,190
hartlbo01c,226
hartscr01c,109
harvedo01c,26
haydo01c,38
hennilo01c,38
hillmla01c,50
hitchke01c,453
hlinkiv01c,42
holmgpa01c,36
howelha01c,43
huculsa01c,78
hullbo01c,77
huntebi01c,9
hunteda02c,30
imlacpu01c,337
inglibi01c,28
ingraro01c,76
irvindi01c,651
ivanto01c,262
johnsbo02c,234
johnsed01c,217
johnsto01c,111
juliecl01c,269
kaspest01c,40
keenami01c,543
kelleja01c,49
kellypa01c,19
kellyre01c,240
kingda01c,109
kitchmi01c,10
krommbo01c,130
lalonne01c,118
lamorlo01c,34
laviope01c,251
leducbo01c,20
lemaija01c,392
lewisda01c,96
leyri01c,87
longba01c,68
loughcl01c,47
loweke01c,32
lowro01c,104
macledo02c,76
maclepa01c,41
macneal01c,134
mactacr01c,116
magnuke01c,31
mahonbi01c,39
malonda01c,98
malonph01c,71
martija02c,442
mauripa01c,140
mccambo01c,130
mckenke01c,53
mcleljo01c,70
mclelto01c,195
mcvieto01c,53
melroba01c,39
milbumi01c,90
muckljo01c,200
muldope01c,107
munrodu01c,23
murdobo01c,67
murphmi01c,13
murraan01c,158
murrabr01c,531
murrate01c,396
nealeha01c,273
needhbi01c,80
neilsro01c,362
nolante01c,80
nykolmi01c,43
oconnmi01c,3
odonoge01c,13
olivemu01c,18
oreilte01c,115
paddojo01c,73
pagepi01c,144
patricr01c,44
patrifr01c,148
patrile01c,329
patrily01c,135
perroje01c,126
perrydo01c,11
pilouru01c,148
plageba01c,15
playfji01c,43
pleaula01c,50
polanni01c,58
powered01c,19
primejo01c,70
pronoma01c,44
pulfobo01c,304
quennjo01c,551
quinnpa01c,541
reaybi01c,472
renneto01c,128
risebdo01c,46
roberji01c,26
robinla01c,90
rossar01c,286
ruelcl01c,123
ruffli01c,347
ryanro01c,43
saccojo01c,43
sathegl01c,537
satorte01c,111
savaged01c,13
schinke01c,54
schmimi01c,106
schoeji01c,171
shawbr02c,38
sherofr01c,360
simpste01c,110
sindeha01c,136
skinnji01c,110
slatete01c,76
smithal03c,12
smithfl01c,176
smythco01c,21
sonmogl01c,166
stanlba01c,14
staplpa01c,38
stasivi01c,28
stevejo01c,86
stewabi02c,14
stewaro01c,31
stirlst01c,38
sullimi01c,41
suttebr01c,314
suttebr02c,97
sutteda01c,407
talboje01c,60
tessior01c,77
therrmi01c,130
thomppa01c,83
tippeda01c,320
tobinbi01c,29
tortojo01c,276
trembma02c,71
trotzba01c,318
ubriage01c,40
vigneal01c,285
viviaja01c,21
watsoph01c,127
wattto01c,89
webstto01c,115
weilaco01c,58
whitebi01c,16
wilsojo01c,101
wilsoro02c,348
youngga01c,32
